Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
101,Robert Covington,PF,33,LAC,3,69,10.5,.455,.889,.222,3.4,9.6,6.6,11.9,4.3,2.6,0.0,6.2,,0.1,0.1,0.2,.132,,-2.3,4.4,2.1,0.1,covinro01
101,Robert Covington,SF,33,PHI,26,419,13.8,.593,.539,.270,7.7,15.7,11.7,5.2,3.8,3.3,9.9,11.2,,0.5,0.8,1.3,.155,,-0.8,3.1,2.3,0.5,covinro01
102,Torrey Craig,SF,33,CHI,27,572,11.2,.553,.547,.165,9.5,16.0,12.6,6.5,1.5,1.8,9.7,12.6,,0.6,0.6,1.2,.098,,-2.3,-0.2,-2.4,-0.1,craigto01
103,Jae Crowder,PF,33,MIL,14,325,9.8,.628,.707,.187,1.7,13.3,7.7,6.4,1.3,0.7,9.0,11.6,,0.3,0.2,0.5,.080,,-0.4,-0.2,-0.6,0.1,crowdja01
104,Cade Cunningham,PG,22,DET,36,1241,15.5,.544,.292,.237,1.4,12.0,6.6,33.7,1.3,0.8,15.3,30.2,,-0.1,0.4,0.3,.011,,0.6,-2.2,-1.6,0.1,cunnica01
105,Seth Curry,SG,33,DAL,33,424,8.2,.496,.561,.121,3.3,8.9,6.1,7.9,1.9,0.6,9.1,15.3,,-0.1,0.3,0.2,.023,,-3.4,-0.8,-4.2,-0.2,curryse01
106,Stephen Curry,PG,35,GSW,39,1296,20.6,.623,.595,.293,1.5,12.4,6.9,23.7,1.2,1.0,12.1,31.0,,2.9,0.7,3.6,.134,,5.9,-1.4,4.6,2.1,curryst01
107,Dyson Daniels,PG,20,NOP,45,992,11.0,.508,.430,.209,5.0,13.8,9.5,15.2,2.8,1.4,14.9,12.8,,0.3,1.5,1.8,.086,,-2.3,2.2,-0.1,0.5,daniedy01
108,Anthony Davis,C,30,LAL,44,1578,25.7,.622,.063,.413,10.3,26.8,18.9,16.8,1.5,5.8,9.6,26.6,,4.1,2.8,6.9,.209,,3.6,1.7,5.3,2.9,davisan02
109,Johnny Davis,SG,21,WAS,20,151,7.9,.468,.063,.104,6.3,7.9,7.1,4.4,2.2,0.5,9.1,15.4,,-0.1,0.1,-0.1,-0.024,,-5.5,-2.1,-7.5,-0.2,davisjo06
