Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
259,Luke Kornet,C,28,BOS,32,2,15.0,2.2,3.1,.704,0.0,0.0,,2.2,3.1,.704,.704,0.8,0.9,.893,1.8,2.1,3.8,0.9,0.4,1.0,0.5,1.3,5.1,kornelu01
260,Jonathan Kuminga,PF,21,GSW,41,15,23.4,5.4,10.1,.531,0.8,2.6,.314,4.6,7.6,.605,.571,2.7,3.8,.713,1.1,3.2,4.4,1.6,0.6,0.4,1.4,2.1,14.3,kuminjo01
261,Kyle Kuzma,PF,28,WAS,44,44,31.4,8.5,18.6,.457,2.3,6.7,.338,6.2,11.9,.524,.518,2.5,3.2,.793,1.0,5.5,6.5,4.4,0.4,0.6,2.8,2.0,21.8,kuzmaky01
262,Jock Landale,C,28,HOU,26,0,9.3,0.9,2.3,.400,0.1,0.7,.118,0.8,1.7,.512,.417,0.4,0.6,.733,1.2,0.8,2.1,0.6,0.3,0.4,0.3,0.9,2.3,landajo01
263,Jake LaRavia,PF,22,MEM,11,0,11.1,1.5,3.9,.372,0.5,2.2,.208,1.0,1.7,.579,.430,0.3,0.4,.750,0.6,0.8,1.5,0.5,0.1,0.1,0.4,1.7,3.6,laravja01
264,Zach LaVine,SG,28,CHI,25,23,34.9,6.8,15.0,.452,2.4,6.8,.349,4.4,8.3,.536,.531,3.5,4.1,.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,lavinza01
265,A.J. Lawson,SG,23,DAL,20,0,9.7,1.6,3.5,.464,0.6,1.8,.343,1.0,1.7,.588,.551,0.6,0.8,.733,0.5,0.9,1.3,0.6,0.5,0.1,0.5,0.7,4.4,lawsoaj01
266,Saben Lee,PG,24,PHO,11,0,6.8,0.8,1.9,.429,0.0,0.5,.000,0.8,1.5,.563,.429,1.2,1.5,.765,0.5,0.6,1.1,1.1,0.3,0.3,0.5,0.5,2.8,leesa01
267,Alex Len,C,30,SAC,17,0,8.8,1.1,1.7,.621,0.0,0.1,.000,1.1,1.6,.667,.621,0.2,0.6,.400,1.4,1.9,3.3,1.1,0.2,0.5,0.6,1.1,2.4,lenal01
268,Kawhi Leonard,SF,32,LAC,39,39,34.6,8.8,16.8,.522,2.2,5.0,.444,6.6,11.8,.555,.588,3.7,4.2,.879,1.1,5.1,6.2,3.8,1.6,0.9,1.6,1.5,23.5,leonaka01
269,Caris LeVert,SG,29,CLE,33,1,28.7,5.6,13.4,.420,1.9,5.6,.342,3.7,7.8,.475,.491,2.5,3.4,.748,0.5,3.1,3.6,4.2,1.0,0.4,1.5,1.7,15.6,leverca01
270,Kira Lewis Jr.,PG,22,TOT,16,0,9.1,1.0,3.3,.308,0.1,1.3,.100,0.9,2.0,.438,.327,0.6,0.7,.909,0.3,0.6,0.9,1.1,0.3,0.1,0.5,0.6,2.8,lewiski01
270,Kira Lewis Jr.,PG,22,NOP,15,0,9.6,1.1,3.5,.308,0.1,1.3,.100,0.9,2.1,.438,.327,0.7,0.7,.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9,lewiski01
270,Kira Lewis Jr.,PG,22,TOR,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,lewiski01
271,Maxwell Lewis,SF,21,LAL,15,0,4.1,0.1,0.7,.200,0.1,0.2,.333,0.1,0.5,.143,.250,0.0,0.0,,0.1,0.1,0.2,0.2,0.1,0.0,0.3,0.1,0.3,lewisma05
272,E.J. Liddell,PF,23,NOP,7,0,2.9,0.1,0.9,.167,0.0,0.7,.000,0.1,0.1,1.000,.167,0.3,0.3,1.000,0.0,0.4,0.4,0.1,0.3,0.3,0.3,0.3,0.6,liddeej01
273,Damian Lillard,PG,33,MIL,42,42,35.3,7.4,17.6,.422,3.0,8.7,.343,4.5,9.0,.497,.506,7.4,8.0,.923,0.5,3.7,4.3,6.7,1.1,0.1,2.5,1.6,25.3,lillada01
274,Nassir Little,SF,23,PHO,26,2,14.3,1.8,3.7,.484,0.6,2.0,.308,1.2,1.7,.698,.568,0.7,0.8,.850,0.5,1.8,2.3,0.6,0.4,0.3,0.5,1.2,4.8,littlna01
275,Dereck Lively II,C,19,DAL,34,33,25.4,4.0,5.4,.735,0.0,0.1,.000,4.0,5.4,.743,.735,0.8,1.4,.565,2.9,4.9,7.8,1.4,0.6,1.4,1.1,3.0,8.8,livelde01
276,Isaiah Livers,PF,25,DET,23,6,20.4,1.7,5.0,.345,1.0,3.3,.286,0.8,1.7,.462,.440,0.5,0.8,.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5.0,liveris01
277,Chris Livingston,SF,20,MIL,12,0,4.8,0.6,1.0,.583,0.1,0.1,1.000,0.5,0.9,.545,.625,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.2,0.0,0.3,0.4,1.4,livinch01
278,Kenneth Lofton Jr.,PF,21,TOT,16,0,6.4,0.9,2.4,.359,0.2,0.6,.300,0.7,1.8,.379,.397,0.5,0.9,.533,0.1,0.9,1.1,0.9,0.2,0.2,0.5,0.9,2.4,loftoke01
278,Kenneth Lofton Jr.,PF,21,MEM,15,0,6.6,0.9,2.5,.378,0.2,0.7,.300,0.7,1.8,.407,.419,0.5,1.0,.533,0.1,0.9,1.0,0.9,0.2,0.2,0.4,1.0,2.6,loftoke01
278,Kenneth Lofton Jr.,PF,21,PHI,1,0,4.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,loftoke01
279,Kevon Looney,C,27,GSW,42,36,20.1,2.3,3.7,.622,0.0,0.0,,2.3,3.7,.622,.622,0.9,1.3,.704,2.5,4.5,7.0,2.4,0.5,0.3,0.7,2.5,5.5,looneke01
280,Brook Lopez,C,35,MIL,45,45,31.7,4.8,10.0,.483,1.6,4.8,.324,3.3,5.2,.630,.561,1.5,1.9,.821,1.7,4.0,5.7,1.6,0.6,2.8,0.9,2.7,12.8,lopezbr01
281,Robin Lopez,C,35,MIL,12,0,2.8,0.3,0.6,.429,0.2,0.4,.400,0.1,0.2,.500,.571,0.2,0.2,1.000,0.1,0.2,0.3,0.3,0.0,0.1,0.1,0.3,0.8,lopezro01
282,Kevin Love,PF,35,MIA,34,5,18.3,3.0,6.9,.438,1.6,4.7,.340,1.4,2.2,.649,.554,1.9,2.5,.774,1.1,5.3,6.5,2.4,0.4,0.1,0.8,1.9,9.5,loveke01
283,Kyle Lowry,PG,37,MIA,37,35,28.0,2.8,6.5,.426,1.7,4.4,.385,1.1,2.2,.506,.554,0.9,1.1,.833,0.7,2.8,3.5,4.0,1.1,0.4,1.4,2.5,8.2,lowryky01
284,Seth Lundy,SF,23,ATL,9,0,5.8,0.4,1.9,.235,0.3,1.4,.231,0.1,0.4,.250,.324,0.3,0.4,.750,0.1,0.7,0.8,0.0,0.0,0.0,0.1,0.7,1.6,lundyse01
285,Trey Lyles,PF,28,SAC,29,0,20.1,2.4,5.4,.446,1.6,4.0,.391,0.9,1.4,.595,.589,0.7,1.1,.625,0.9,3.8,4.7,1.3,0.2,0.3,0.6,1.6,7.1,lylestr01
286,Théo Maledon,PG,22,CHO,13,1,15.4,1.5,5.1,.288,0.4,2.3,.167,1.1,2.8,.389,.326,0.8,0.9,.917,0.3,1.5,1.8,2.2,0.5,0.0,1.2,1.4,4.2,maledth01
287,Sandro Mamukelashvili,C,24,SAS,26,0,6.8,0.9,2.3,.407,0.3,1.2,.250,0.6,1.0,.593,.475,0.5,0.6,.750,0.6,1.3,1.9,1.0,0.2,0.3,0.3,0.7,2.6,mamuksa01
288,Terance Mann,SG,27,LAC,37,33,25.2,2.9,6.4,.451,0.9,3.1,.301,2.0,3.4,.589,.523,0.8,1.1,.750,1.2,2.0,3.2,1.8,0.6,0.3,0.6,1.9,7.5,mannte01
289,Tre Mann,PG,22,OKC,13,0,9.2,1.5,3.1,.500,0.6,1.5,.421,0.9,1.6,.571,.600,0.1,0.1,1.000,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8,manntr01
290,Boban Marjanović,C,35,HOU,8,0,5.5,1.0,2.4,.421,0.0,0.3,.000,1.0,2.1,.471,.421,0.1,0.5,.250,0.6,1.6,2.3,0.5,0.0,0.1,0.1,0.5,2.1,marjabo01
291,Lauri Markkanen,PF,26,UTA,36,36,32.5,7.9,16.1,.492,3.2,8.0,.394,4.8,8.1,.589,.590,4.7,5.4,.872,2.4,6.3,8.7,1.9,0.9,0.6,1.2,1.8,23.8,markkla01
292,Naji Marshall,SF,26,NOP,36,1,18.3,2.6,5.8,.445,0.9,2.4,.376,1.7,3.4,.492,.522,1.4,1.8,.825,1.0,2.5,3.5,1.9,0.7,0.2,1.1,1.5,7.5,marshna01
293,Caleb Martin,SF,28,MIA,28,12,26.6,4.0,9.0,.440,1.3,3.3,.385,2.7,5.8,.472,.510,1.4,1.8,.765,1.2,3.5,4.8,2.3,0.8,0.3,1.3,2.0,10.6,martica02
294,Cody Martin,SF,28,CHO,13,7,25.4,2.5,7.2,.355,0.8,2.9,.289,1.7,4.2,.400,.414,0.7,1.3,.529,1.0,2.0,3.0,2.3,1.4,0.8,1.0,1.8,6.6,martico01
295,KJ Martin,SF,23,TOT,29,0,7.8,0.9,1.9,.491,0.0,0.3,.111,0.9,1.6,.565,.500,0.3,0.6,.500,0.2,0.6,0.9,0.5,0.4,0.0,0.3,1.1,2.2,martike04
295,KJ Martin,SF,23,LAC,2,0,15.5,2.0,5.0,.400,0.5,2.5,.200,1.5,2.5,.600,.450,0.5,1.0,.500,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0,martike04
295,KJ Martin,SF,23,PHI,27,0,7.2,0.9,1.7,.511,0.0,0.1,.000,0.9,1.5,.561,.511,0.3,0.5,.500,0.2,0.6,0.8,0.5,0.4,0.0,0.2,1.1,2.0,martike04
296,Garrison Mathews,SG,27,ATL,31,3,13.0,1.3,2.7,.470,1.2,2.5,.462,0.1,0.2,.600,.687,0.1,0.3,.444,0.3,1.0,1.3,0.5,0.3,0.1,0.5,1.6,3.8,mathega01
297,Bennedict Mathurin,SF,21,IND,46,14,25.4,5.0,11.0,.451,1.2,3.5,.356,3.7,7.6,.494,.507,2.9,3.5,.831,1.1,2.7,3.8,2.0,0.5,0.2,1.6,1.9,14.1,mathube01
298,Wesley Matthews,SG,37,ATL,19,1,11.2,0.5,2.1,.256,0.3,1.6,.200,0.2,0.5,.444,.333,0.7,1.0,.737,0.2,1.2,1.4,0.6,0.5,0.2,0.3,1.4,2.1,matthwe02
299,Tyrese Maxey,PG,23,PHI,42,42,37.5,8.8,19.7,.448,3.1,8.2,.373,5.7,11.4,.502,.526,5.0,5.8,.864,0.6,3.0,3.6,6.6,1.0,0.5,1.6,2.1,25.7,maxeyty01
300,Skylar Mays,PG-SG,26,TOT,24,5,15.9,2.5,6.2,.399,0.7,2.1,.314,1.8,4.0,.443,.453,0.5,0.7,.765,0.4,1.2,1.6,3.3,0.7,0.1,0.8,1.0,6.1,mayssk01
300,Skylar Mays,PG,26,POR,21,5,17.0,2.5,6.6,.384,0.7,2.3,.286,1.9,4.2,.438,.435,0.6,0.8,.765,0.4,1.3,1.8,3.6,0.7,0.1,0.9,1.0,6.3,mayssk01
300,Skylar Mays,SG,26,LAL,3,0,8.7,2.0,3.3,.600,0.7,0.7,1.000,1.3,2.7,.500,.700,0.0,0.0,,0.3,0.3,0.7,1.3,0.7,0.0,0.0,1.0,4.7,mayssk01
301,Miles McBride,PG,23,NYK,32,2,9.8,1.7,3.7,.454,1.1,2.3,.466,0.6,1.4,.435,.597,0.3,0.4,.750,0.1,0.6,0.7,0.9,0.4,0.1,0.3,1.0,4.7,mcbrimi01
302,CJ McCollum,PG,32,NOP,31,31,32.0,7.0,15.0,.467,3.5,8.0,.444,3.5,7.0,.493,.585,2.1,2.6,.790,0.6,3.7,4.4,4.9,1.2,0.8,1.6,2.2,19.6,mccolcj01
303,T.J. McConnell,PG,31,IND,38,3,17.0,3.5,6.7,.525,0.1,0.4,.118,3.5,6.3,.555,.529,0.9,1.2,.750,0.5,2.1,2.6,5.5,1.1,0.1,1.5,1.1,8.0,mccontj01
304,Jaden McDaniels,SF,23,MIN,35,34,28.7,4.5,8.7,.518,1.3,3.3,.383,3.3,5.4,.600,.590,0.7,0.9,.750,0.7,2.0,2.7,1.3,0.9,0.5,1.2,3.1,11.0,mcdanja02
305,Jalen McDaniels,SF,26,TOR,28,0,8.8,1.1,3.2,.333,0.3,1.6,.178,0.8,1.6,.489,.378,0.5,0.7,.700,0.3,0.9,1.2,0.5,0.4,0.1,0.3,0.9,2.9,mcdanja01
306,Doug McDermott,SF,32,SAS,40,0,15.5,2.1,4.7,.444,1.7,3.7,.443,0.4,1.0,.447,.620,0.3,0.4,.667,0.2,0.9,1.1,1.3,0.3,0.1,0.6,1.1,6.1,mcderdo01
